股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
601818,光大银行,59085551061.0,46406815561.0,184346919310.32,144789264550.32,银行,20100818
600941,中国移动,21396852722.0,758622867.0,2262931143878.72,80231954413.92,通信服务,20220105
300750,宁德时代,4399041236.0,3894852702.0,836521681437.76,740645189812.32,电池,20180611
601166,兴业银行,20774291878.0,20774291878.0,327818325834.83997,327818325834.83997,银行,20070205
600795,国电电力,17835619082.0,17835619082.0,90069876364.09999,90069876364.09999,电力行业,19970318
601916,浙商银行,27464635963.0,21544435963.0,82119261529.37001,64417863529.37,银行,20191126
600016,民生银行,43782418502.0,35462123213.0,177318794933.1,143621599012.65,银行,20001219
601988,中国银行,294387791241.0,210765514846.0,1295306281460.4001,927368265322.4,银行,20060705
601088,中国神华,19868519955.0,16491037955.0,776660445040.9501,644634673660.9501,煤炭行业,20071009
002142,宁波银行,6603590792.0,6523762510.0,136232078038.95999,134585220581.29999,银行,20070719
600900,长江电力,24468217716.0,24007256503.0,609992667659.88,598500904619.79,电力行业,20031118
000333,美的集团,6968950724.0,6836340734.0,447546015495.27997,439029801937.48,家电行业,20130918
601288,农业银行,349983033873.0,319244210777.0,1480428233282.79,1350403011586.7102,银行,20100715
601318,中国平安,18210234607.0,10762657695.0,743159674311.67,439224060532.95,保险,20070301
600015,华夏银行,15914928468.0,15387223983.0,103128736472.64,99709211409.84001,银行,20030912
601658,邮储银行,99161076038.0,67122395200.0,471015111180.5,318831377200.0,银行,20191210
003816,中国广核,50498611100.0,39334986100.0,204014388844.0,158913343844.0,电力行业,20190826
600089,特变电工,5052710023.0,5052710023.0,77407517552.36,77407517552.36,电网设备,19970618
601728,中国电信,91507138699.0,19590425382.0,556363403289.92,119109786322.56,通信服务,20210820
600030,中信证券,14820546829.0,11366683345.0,284554499116.8,218240320224.0,证券,20030106
601398,工商银行,356406257089.0,269612212539.0,1881825037429.9202,1423552482205.9202,银行,20061027
000651,格力电器,5631405741.0,5583273595.0,221370559678.71002,219478485019.45,家电行业,19961118
601857,中国石油,183020977818.0,161922077818.0,1808247260841.84,1599790128841.84,石油行业,20071105
002594,比亚迪,2911142855.0,1164262051.0,591136668136.3,236415052076.06,汽车整车,20110630
000858,五 粮 液,3881608005.0,3881525907.0,595865644847.5499,595853041983.57,酿酒行业,19980427
600048,保利发展,11970443418.0,11970443418.0,109290148406.34001,109290148406.34001,房地产开发,20060731
600519,贵州茅台,1256197800.0,1256197800.0,2139179233620.0,2139179233620.0,酿酒行业,20010827
600438,通威股份,4501973774.0,4501973774.0,111964087759.38,111964087759.38,光伏设备,20040302
000002,万  科Ａ,11930709471.0,9716935865.0,107376385239.0,87452422785.0,房地产开发,19910129
600690,海尔智家,9438114893.0,6308552654.0,235480966580.35,157398388717.3,家电行业,19931119
601006,大秦铁路,16411264184.0,16411264184.0,120786904394.24,120786904394.24,物流行业,20060801
601009,南京银行,10343733910.0,9212625648.0,92679855833.6,82545125806.08,银行,20070719
600104,上汽集团,11575299445.0,11575299445.0,174439762636.15,174439762636.15,汽车整车,19971125
601169,北京银行,21142984272.0,21142984272.0,119669290979.52,119669290979.52,银行,20070919
601800,中国交建,16280111425.0,11747235425.0,140334560483.5,101261169363.49998,工程建设,20120309
600036,招商银行,25219845601.0,20628944429.0,812079028352.2001,664252010613.8,银行,20020409
600000,浦发银行,29352176848.0,29352176848.0,209281020926.24,209281020926.24,银行,19991110
601899,紫金矿业,26325988940.0,20556293036.0,442803133970.8,345756848865.52,贵金属,20080425
601319,中国人保,44223990583.0,35497756583.0,229964751031.6,184588334231.6,保险,20181116
600919,江苏银行,18351324463.0,18269722530.0,144975463257.7,144330807987.0,银行,20160802
601939,建设银行,250010977486.0,9593657606.0,1717575415328.82,65908427753.22,银行,20070925
601138,工业富联,19863940101.0,19834899353.0,452301916099.77,451640658267.81,消费电子,20180608
600050,中国联通,31800581312.0,30965652312.0,148508714727.04,144609596297.04,通信服务,20021009
600309,万华化学,3139746626.0,3139746626.0,259971020632.8,259971020632.8,化学制品,20010105
600018,上港集团,23284144750.0,23173674650.0,125035857307.5,124442632870.5,航运港口,20061026
600011,华能国际,15698093359.0,10997709919.0,147248115707.42,103158519040.22,电力行业,20011206
601919,中远海控,15957586817.0,12757806817.0,165161023555.94998,132043300555.95,航运港口,20070626
601985,中国核电,18883284867.0,18883284867.0,173537387927.72998,173537387927.72998,电力行业,20150610
600028,中国石化,121739689893.0,94971971046.0,777916618416.27,606870894983.94,石油行业,20010808
601601,中国太保,9620341455.0,6845041455.0,221267853465.0,157435953465.0,保险,20071225
601390,中国中铁,24750629817.0,20419450121.0,173501915017.16998,143140345348.21,工程建设,20071203
601668,中国建筑,41619952444.0,41320390444.0,218088550806.56,216518845926.56,工程建设,20090729
601225,陕西煤业,9695000000.0,9695000000.0,243247550000.0,243247550000.0,煤炭行业,20140128
002466,天齐锂业,1641221583.0,1476287000.0,78729399336.51,70817487390.0,能源金属,20100831
601898,中煤能源,13258663400.0,9152000400.0,151679109296.0,104698884576.0,煤炭行业,20080201
600938,中国海油,47566763984.0,2841851853.0,1390376511252.32,83067329663.19,石油行业,20220421
600188,兖矿能源,7439370720.0,4528594140.0,176982629428.8,107735254590.59999,煤炭行业,19980701
601669,中国电建,17226159334.0,13071525850.0,85614011889.98,64965483474.5,工程建设,20111018
601186,中国铁建,13579541500.0,11503245500.0,116376670655.0,98582813935.0,工程建设,20080310
000001,平安银行,19405918198.0,19405546950.0,204150259442.96,204146353914.0,银行,19910403
002304,洋河股份,1506445074.0,1502167088.0,147104361476.1,146686616143.2,酿酒行业,20091106
601998,中信银行,48966866280.0,34084703303.0,305553245587.2,212688548610.72,银行,20070427
601618,中国中冶,20723619170.0,17852619170.0,69631360411.2,59984800411.2,工程建设,20090921
000568,泸州老窖,1471987769.0,1467265140.0,271714222279.71,270842472192.6,酿酒行业,19940509
601328,交通银行,74262726645.0,39250864015.0,470825686929.3,248850477855.1,银行,20070515
601688,华泰证券,9029384840.0,7281060768.0,126772563153.59999,102226093182.72,证券,20100226
601012,隆基绿能,7578043745.0,7578036199.0,147847633464.95,147847486242.49002,光伏设备,20120411
601825,沪农商行,9644444445.0,4621763445.0,65292888892.649994,31289338522.649998,银行,20210819
600886,国投电力,7454179797.0,6965873347.0,112185405944.85,104836393872.35,电力行业,19960118
600809,山西汾酒,1219964222.0,1219964222.0,298988831527.76,298988831527.76,酿酒行业,19940106
000617,中油资本,12642079079.0,12642079079.0,72439113122.67,72439113122.67,多元金融,19961022
601229,上海银行,14206669726.0,13847619008.0,95468820558.72,93055999733.76,银行,20161116
600039,四川路桥,8715201005.0,6679266565.0,66061223617.9,50628840562.7,工程建设,20030325
601211,国泰君安,8904610816.0,7480322856.0,123506952017.92,103752078012.72,证券,20150626
600019,宝钢股份,22119857984.0,21857918984.0,146875857013.75998,145136582053.75998,钢铁行业,20001212
601600,中国铝业,17158381228.0,13078706983.0,126972021087.20001,96782431674.20001,有色金属,20070430
000063,中兴通讯,4783251552.0,4027020775.0,133883210940.48,112716311492.25,通信设备,19971118
600926,杭州银行,5930284756.0,5362744503.0,65885463639.159996,59580091428.329994,银行,20161027
601816,京沪高铁,49106484611.0,49106484611.0,246514552747.21997,246514552747.21997,物流行业,20200116
601766,中国中车,28698864088.0,24327798048.0,195726253080.16,165915582687.36002,交运设备,20080818
300760,迈瑞医疗,1212441394.0,1212440419.0,341253754755.24,341253480331.74,医疗器械,20181016
600606,绿地控股,14054218314.0,14054218314.0,26984099162.879997,26984099162.879997,房地产开发,19920327
601077,渝农商行,11357000000.0,8836073789.0,52923620000.0,41176103856.74,银行,20191029
002415,海康威视,9330600931.0,9108433258.0,300072125940.95996,292927213577.27997,计算机设备,20100528
002459,晶澳科技,3316776216.0,3305575633.0,57944080493.52,57748406308.509995,光伏设备,20100810
600025,华能水电,18000000000.0,18000000000.0,172440000000.0,172440000000.0,电力行业,20171215
001872,招商港口,2499074661.0,1742468718.0,45283232857.32,31573533170.16,航运港口,19930505
600546,山煤国际,1982456140.0,1982456140.0,34018947362.4,34018947362.4,煤炭行业,20030731
600887,伊利股份,6366098705.0,6305094159.0,177614153869.5,175912127036.1,食品饮料,19960312
000625,长安汽车,9917289033.0,8214004680.0,166610455754.4,137995278624.0,汽车整车,19970610
601336,新华保险,3119546600.0,2085439340.0,93024879612.0,62187801118.8,保险,20111216
600585,海螺水泥,5299302579.0,3999702579.0,118068461460.12001,89113373460.12001,水泥建材,20020207
002475,立讯精密,7170515373.0,7155235452.0,210884857119.93,210435474643.32,消费电子,20100915
601066,中信建投,7756694797.0,3811362018.0,170104316898.21,83583169054.74,证券,20180620
601868,中国能建,41691163636.0,14222500963.0,88385266908.32,30151702041.56,工程建设,20210928
001289,龙源电力,8381963164.0,133336023.0,156994170061.72,2497383710.79,电力行业,20220124
600023,浙能电力,13408732749.0,13408732749.0,89436247435.83,89436247435.83,电力行业,20131219
688599,天合光能,2179364506.0,2179364506.0,51868875242.8,51868875242.8,光伏设备,20200610
600362,江西铜业,3462729405.0,2075247405.0,80612340548.40001,48311759588.4,有色金属,20020111
601838,成都银行,3813932995.0,3806555837.0,51869488732.0,51769159383.2,银行,20180131
600153,建发股份,3004071338.0,2853380626.0,30821771927.88,29275685222.76,贸易行业,19980616
601577,长沙银行,4021553754.0,4020596589.0,31167041593.5,31159623564.75,银行,20180926
000776,广发证券,7621087664.0,5919291464.0,101741520314.4,79022541044.4,证券,19970611
001979,招商蛇口,9060836177.0,7737929353.0,85624901872.65,73123432385.84999,房地产开发,20151230
600346,恒力石化,7039099786.0,7039099786.0,98195442014.7,98195442014.7,化纤行业,20010820
601881,中国银河,10934402256.0,7243417623.0,130994139026.88,86776143123.54001,证券,20170123
000933,神火股份,2249708409.0,2238465339.0,44769197339.1,44545460246.1,有色金属,19990831
002129,TCL中环,4043115773.0,4039719405.0,47870490752.32,47830277755.2,光伏设备,20070420
600999,招商证券,8696526806.0,7422005272.0,121403514211.76001,103611193597.12001,证券,20091117
601607,上海医药,3703301054.0,1931519954.0,62696886844.22,32700632821.22,医药商业,19940324
601699,潞安环能,2991409200.0,2991409200.0,61892256348.00001,61892256348.00001,煤炭行业,20060922
300059,东方财富,15856995052.0,13430731260.0,204396666220.28,173122125941.4,互联网服务,20100319
688303,大全能源,2144937715.0,519937715.0,57913318305.0,14038318305.0,光伏设备,20210722
300122,智飞生物,2400000000.0,1420518413.0,107856000000.0,63838097480.21999,生物制品,20100928
600905,三峡能源,28621379200.0,13587856566.0,134234268448.00002,63727047294.54001,电力行业,20210610
600348,华阳股份,3607500000.0,3607500000.0,33838350000.000004,33838350000.000004,煤炭行业,20030821
600837,海通证券,13064200000.0,8831873713.0,113658539999.99998,76837301303.09999,证券,19940224
002460,赣锋锂业,2017167779.0,1208715121.0,73344220444.44,43948881799.56,能源金属,20100810
603259,药明康德,2933320417.0,2546244267.0,135460736857.06,117585560250.06,医疗服务,20180508
000792,盐湖股份,5432876672.0,5432786902.0,87143341818.87999,87141901908.08,化肥行业,19970904
601628,中国人寿,28264705000.0,20823530000.0,805544092500.0,593470605000.0,保险,20070109
601888,中国中免,2068859044.0,1952475544.0,176721939538.48,166780460968.48,旅游酒店,20091015
600803,新奥股份,3098397607.0,2836141085.0,59984977671.52,54907691405.6,燃气,19940103
000100,TCL科技,18779080767.0,18098541554.0,87698307181.89,84520189057.18,光学光电子,20040130
600256,广汇能源,6565755139.0,6565755139.0,48849218234.16,48849218234.16,石油行业,20000526
688223,晶科能源,10005196733.0,3108644733.0,82843028949.23999,25739578389.239998,光伏设备,20220126
600985,淮北矿业,2651786518.0,2651786518.0,44072691929.16,44072691929.16,煤炭行业,20040428
000932,华菱钢铁,6908632499.0,6908546583.0,36546665919.71,36546211424.07,钢铁行业,19990803
300274,阳光电源,1485150984.0,1126238347.0,154158672139.19998,116903540418.59999,光伏设备,20111102
600600,青岛啤酒,1364196788.0,704698414.0,113733086215.56001,58750706775.18,酿酒行业,19930827
000166,申万宏源,25039944560.0,22535507316.0,111678152737.6,100508362629.36,证券,20150126
600741,华域汽车,3152723984.0,3152723984.0,52682017772.64,52682017772.64,汽车零部件,19960826
000895,双汇发展,3464661213.0,3464123744.0,90947356841.25,90933248280.0,食品饮料,19981210
000983,山西焦煤,5677101059.0,4640210998.0,58587682928.880005,47886977499.36,煤炭行业,20000726
600704,物产中大,5193362040.0,5114782040.0,22902726596.4,22556188796.4,物流行业,19960606
002736,国信证券,9612429377.0,9138841807.0,80552158179.26001,76583494342.66,证券,20141229
000425,徐工机械,11816166093.0,8120089571.0,75150816351.48001,51643769671.560005,工程机械,19960828
601633,长城汽车,8543774986.0,6168457376.0,195139820680.24,140887566467.84,汽车整车,20110928
000937,冀中能源,3533546850.0,2906599842.0,26960962465.5,22177356794.46,煤炭行业,19990909
600027,华电国际,10227561133.0,8510327533.0,70263344983.71,58465950151.71,电力行业,20050203
603288,海天味业,5560600544.0,5560600544.0,219143267439.03998,219143267439.03998,食品饮料,20140211
600406,国电南瑞,8032824078.0,7984484714.0,195518938058.52,194342357938.76,电网设备,20031016
601018,宁波港,19454388399.0,15807417370.0,66728552208.57,54219441579.100006,航运港口,20100928
601995,中金公司,4827256868.0,2923542440.0,155485943718.28,94167301992.40001,证券,20201102
600660,福耀玻璃,2609743532.0,2002986332.0,112897505194.31999,86649188722.31999,玻璃玻纤,19930610
601298,青岛港,6491100000.0,5392075000.0,47969229000.0,39847434250.0,航运港口,20190121
601963,重庆银行,3474563165.0,1296574333.0,25572784894.4,9542787090.880001,银行,20210205
600096,云天化,1834328747.0,1834328747.0,34815559618.06,34815559618.06,化肥行业,19970709
601991,大唐发电,18506710504.0,12396089106.0,54224661776.72,36320541080.58,电力行业,20061220
603993,洛阳钼业,21599240583.0,17665772583.0,179705681650.56,146979227890.56,小金属,20121009
000708,中信特钢,5047156349.0,5047156349.0,76212060869.9,76212060869.9,钢铁行业,19970326
600377,宁沪高速,5037747500.0,3802183001.0,58639380900.0,44257410131.64,铁路公路,20010116
000630,铜陵有色,12667009987.0,10526455441.0,50288029648.39,41790028100.770004,有色金属,19961120
600989,宝丰能源,7333360000.0,7333360000.0,119900436000.00002,119900436000.00002,化学原料,20190516
001965,招商公路,6820102366.0,6820102366.0,77067156735.8,77067156735.8,铁路公路,20171225
603688,石英股份,361277126.0,361277126.0,32630550020.319996,32630550020.319996,非金属材料,20141031
600031,三一重工,8485740237.0,8464215837.0,123722092655.46,123408266903.46,工程机械,20030703
000538,云南白药,1796862549.0,1785295191.0,91280617489.2,90692995702.79999,中药,19931215
601117,中国化学,6109470588.0,6049510588.0,41238926469.0,40834196469.0,工程建设,20100107
002352,顺丰控股,4895202373.0,4867816288.0,178185366377.19998,177188512883.19998,物流行业,20100205
