,name,cname,symbol
0,Microsoft Corp.,微软公司,MSFT
1,"Apple, Inc.",苹果公司,AAPL
2,NVIDIA Corp.,英伟达公司,NVDA
3,"Amazon.com, Inc.",亚马逊公司,AMZN
4,"Alphabet, Inc.",谷歌,GOOG
5,"Alphabet, Inc.",谷歌A类股,GOOGL
6,"Meta Platforms, Inc.","Meta Platforms, Inc.",META
7,"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦,BRK.A
8,"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦B,BRK.B
9,"Taiwan Semiconductor Manufacturing Co., Ltd.",台湾积体电路制造公司,TSM
10,Eli Lilly & Co.,礼来公司,LLY
11,Broadcom Inc.,博通,AVGO
12,Novo Nordisk A/S,诺和诺德公司,NVO
13,"Visa, Inc.",维萨卡公司,V
14,"Tesla, Inc.",特斯拉,TSLA
15,JPMorgan Chase & Co.,摩根大通公司,JPM
16,"Walmart, Inc.",沃尔玛公司,WMT
17,"UnitedHealth Group, Inc.",美国联合健康集团,UNH
18,"Mastercard, Inc.",万事达卡公司,MA
19,Exxon Mobil Corp.,埃克森美孚公司,XOM
20,Vanguard Total International Stock ETF,领航 国际股票 ETF,VXUS
21,ASML Holding NV,阿斯麦公司,ASML
22,Johnson & Johnson,强生公司,JNJ
23,Procter & Gamble Co.,宝洁公司,PG
24,"The Home Depot, Inc.",家得宝公司,HD
25,"Advanced Micro Devices, Inc.",美国超微公司,AMD
26,Toyota Motor Corp.,丰田汽车公司,TM
27,Costco Wholesale Corp.,开市客公司,COST
28,"AbbVie, Inc.",艾伯维公司,ABBV
29,"Merck & Co., Inc.",默沙东集团,MRK
30,Oracle Corp.,甲骨文公司,ORCL
31,"Salesforce, Inc.",赛富时公司,CRM
32,Bank of America Corp.,美国银行公司,BAC
33,Chevron Corp.,雪佛龙公司,CVX
34,"Netflix, Inc.",奈飞公司,NFLX
35,The Coca-Cola Co.,可口可乐公司,KO
36,"Adobe, Inc.",Adobe,ADBE
37,Accenture Plc,埃森哲公司,ACN
38,"Thermo Fisher Scientific, Inc.",赛默飞世尔科技公司,TMO
39,SAP SE,SAP,SAP
40,"PepsiCo, Inc.",百事可乐公司,PEP
41,Linde Plc,Linde Plc,LIN
42,McDonald's Corp.,麦当劳公司,MCD
43,Abbott Laboratories,雅培公司,ABT
44,Shell Plc,Shell Plc,SHEL
45,AstraZeneca PLC,阿斯利康公司,AZN
46,Novartis AG,诺华公司,NVS
47,Wells Fargo & Co.,富国银行,WFC
48,The Walt Disney Co.,沃特迪士尼公司,DIS
49,"Cisco Systems, Inc.",思科系统公司,CSCO
50,"T-Mobile US, Inc.","T-Mobile US, Inc.",TMUS
51,Shell Plc,荷兰皇家壳牌石油公司,RDS.A
52,"QUALCOMM, Inc.",高通公司,QCOM
53,Danaher Corp.,丹纳赫公司,DHR
54,Alibaba Group Holding Ltd.,阿里巴巴,BABA
