股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
600941,中国移动,21396852722.0,758622867.0,2237896826193.98,79344365659.53,通信服务,20220105
600519,贵州茅台,1256197800.0,1256197800.0,2162330959074.0,2162330959074.0,酿酒行业,20010827
601398,工商银行,356406257089.0,269612212539.0,1885389100000.81,1426248604331.31,银行,20061027
601857,中国石油,183020977818.0,161922077818.0,1782624323947.32,1577121037947.32,石油行业,20071105
601939,建设银行,250010977486.0,9593657606.0,1727575854428.26,66292174057.46,银行,20070925
601288,农业银行,349983033873.0,319244210777.0,1480428233282.79,1350403011586.7102,银行,20100715
600938,中国海油,47566763984.0,2841851853.0,1378484820256.32,82356866699.94,石油行业,20220421
601988,中国银行,294387791241.0,210765514846.0,1312969548934.86,940014196213.16,银行,20060705
300750,宁德时代,4399041236.0,3894852702.0,870306318130.24,770557658563.68,电池,20180611
601628,中国人寿,28264705000.0,20823530000.0,831830268150.0,612836487900.0,保险,20070109
600036,招商银行,25219845601.0,20628944429.0,823175760416.64,673328746162.56,银行,20020409
600028,中国石化,121739689893.0,94971971046.0,774264427719.48,604021735852.56,石油行业,20010808
601088,中国神华,19868519955.0,16491037955.0,762553795872.9,632926036712.9,煤炭行业,20071009
601318,中国平安,18210234607.0,10762657695.0,751172177538.75,443959629918.75,保险,20070301
002594,比亚迪,2911142855.0,1164262051.0,617191396688.5499,246835197432.50998,汽车整车,20110630
000858,五 粮 液,3881608005.0,3881525907.0,610499307026.4,610486394652.96,酿酒行业,19980427
600900,长江电力,24468217716.0,24007256503.0,605099024116.68,593699453319.1901,电力行业,20031118
601728,中国电信,91507138699.0,19590425382.0,550872974967.98,117934360799.63998,通信服务,20210820
601328,交通银行,74262726645.0,39250864015.0,481222468659.60004,254345598817.2,银行,20070515
601658,邮储银行,99161076038.0,67122395200.0,471015111180.5,318831377200.0,银行,20191210
601138,工业富联,19863940101.0,19834899353.0,463028443754.31,462351503918.43,消费电子,20180608
000333,美的集团,6968950724.0,6836340734.0,461483916943.27997,452702483405.48,家电行业,20130918
601899,紫金矿业,26325988940.0,20556293036.0,444119433417.80005,346784663517.32,贵金属,20080425
688981,中芯国际,7948722724.0,1973609172.0,352128416673.19995,87430886319.59999,半导体,20200716
300760,迈瑞医疗,1212441394.0,1212440419.0,342817804153.5,342817528472.25,医疗器械,20181016
601998,中信银行,53292771356.0,38410608379.0,333079820975.0,240066302368.75,银行,20070427
601166,兴业银行,20774291878.0,20774291878.0,328857040428.74,328857040428.74,银行,20070205
600809,山西汾酒,1219964222.0,1219964222.0,308089764623.88,308089764623.88,酿酒行业,19940106
002415,海康威视,9330600931.0,9108433258.0,306510240583.35004,299212032525.3,计算机设备,20100528
600276,恒瑞医药,6379002274.0,6374207986.0,295475385331.68,295253313911.52,化学制药,20001018
600030,中信证券,14820546829.0,11366683345.0,287666813950.89,220627323726.45,证券,20030106
000568,泸州老窖,1471987769.0,1467265140.0,281664859598.14996,280761184539.0,酿酒行业,19940509
600309,万华化学,3139746626.0,3139746626.0,265465577228.3,265465577228.3,化学制品,20010105
601816,京沪高铁,49106484611.0,49106484611.0,248969876977.77002,248969876977.77002,物流行业,20200116
002714,牧原股份,5465350691.0,3661229000.0,243973254846.24,163437262560.0,农牧饲渔,20140128
600690,海尔智家,9438114893.0,6308552654.0,241804503558.66,161625118995.48,家电行业,19931119
601225,陕西煤业,9695000000.0,9695000000.0,239757350000.0,239757350000.0,煤炭行业,20140128
601319,中国人保,44223990583.0,35497756583.0,234387150089.9,188138109889.9,保险,20181116
601601,中国太保,9620341455.0,6845041455.0,228194499312.59998,162364383312.6,保险,20071225
000651,格力电器,5631405741.0,5583273595.0,225931998328.91998,224000936631.4,家电行业,19961118
603288,海天味业,5560600544.0,5560600544.0,221256295645.76,221256295645.76,食品饮料,20140211
601668,中国建筑,41619952444.0,41320390444.0,219337149379.87997,217758457639.87997,工程建设,20090729
002475,立讯精密,7178011313.0,7162441883.0,212971595656.71002,212509650668.61002,消费电子,20100915
600000,浦发银行,29352176848.0,29352176848.0,212216238611.04,212216238611.04,银行,19991110
300059,东方财富,15856995052.0,13430731260.0,207568065230.68,175808272193.4,互联网服务,20100319
000001,平安银行,19405918198.0,19405546950.0,206478969626.72,206475019548.0,银行,19910403
601633,长城汽车,8543774986.0,6168457376.0,203341844666.80002,146809285548.80002,汽车整车,20110928
003816,中国广核,50498611100.0,39334986100.0,200984472178.0,156553244678.0,电力行业,20190826
601766,中国中车,28698864088.0,24327798048.0,197161196284.56,167131972589.76,交运设备,20080818
600406,国电南瑞,8032824078.0,7984484714.0,196241892225.54,195060961563.02,电网设备,20031016
601818,光大银行,59085551061.0,46406815561.0,183165208289.1,143861128239.1,银行,20100818
688041,海光信息,2324338091.0,880037056.0,182414053381.68002,69065308154.88,半导体,20220812
601888,中国中免,2068859044.0,1952475544.0,181025166350.0,170841610100.0,旅游酒店,20091015
600887,伊利股份,6366098705.0,6305094159.0,179205678545.75,177488400575.85,食品饮料,19960312
002352,顺丰控股,4895202373.0,4867816288.0,178772790661.96002,177772650837.76,物流行业,20100205
603993,洛阳钼业,21599240583.0,17665772583.0,178193734809.75,145742623809.75,小金属,20121009
601390,中国中铁,24750629817.0,20419450121.0,177957028384.23,146815846369.99002,工程建设,20071203
688235,百济神州-U,1357560499.0,115055260.0,177392430404.33,15034270824.199999,生物制品,20211215
600188,兖矿能源,7439370720.0,4528594140.0,177205810550.4,107871112414.8,煤炭行业,19980701
600104,上汽集团,11575299445.0,11575299445.0,176754822525.15,176754822525.15,汽车整车,19971125
600016,民生银行,43782418502.0,35462123213.0,176005322378.03998,142557735316.25998,银行,20001219
000625,长安汽车,9917289033.0,8214004680.0,175932707445.41998,145716443023.19998,汽车整车,19970610
601066,中信建投,7756694797.0,3811362018.0,172664026181.22,84840918520.68001,证券,20180620
600025,华能水电,18000000000.0,18000000000.0,170100000000.0,170100000000.0,电力行业,20171215
300999,金龙鱼,5421591536.0,542647097.0,168774144515.68,16892604129.609999,食品饮料,20201015
601985,中国核电,18883284867.0,18883284867.0,167683569618.96002,167683569618.96002,电力行业,20150610
600150,中国船舶,4472428758.0,4472428758.0,167492456987.1,167492456987.1,船舶制造,19980520
601919,中远海控,15957586817.0,12757806817.0,165799327028.63,132553612828.63,航运港口,20070626
300124,汇川技术,2676730835.0,2336384134.0,164538644427.45,143617532716.98,电子元件,20100928
000725,京东方Ａ,37652529195.0,36760685841.0,163411976706.3,159541376549.94,光学光电子,20010112
002371,北方华创,530293384.0,529796134.0,163330362272.0,163177209272.0,半导体,20100316
300274,阳光电源,1485150984.0,1126238347.0,161940863295.36002,122805029356.88,光伏设备,20111102
601995,中金公司,4827256868.0,2923542440.0,157416846465.48,95336718968.4,证券,20201102
001289,龙源电力,8381963164.0,133336023.0,155736875587.12,2477383307.3399997,电力行业,20220124
601012,隆基绿能,7578043745.0,7578036199.0,152697581461.75,152697429409.84998,光伏设备,20120411
002304,洋河股份,1506445074.0,1502167088.0,152015372417.34,151583680850.08,酿酒行业,20091106
600050,中国联通,31800581312.0,30965652312.0,150734755418.88,146777191958.88,通信服务,20021009
601898,中煤能源,13258663400.0,9152000400.0,150618416224.0,103966724544.0,煤炭行业,20080201
000338,潍柴动力,8726556821.0,4971632186.0,149834980616.57,85362924633.62001,汽车零部件,20070430
600019,宝钢股份,22119857984.0,21857918984.0,146654658433.91998,144918002863.91998,钢铁行业,20001212
600919,江苏银行,18351324463.0,18269722530.0,146076542725.48,145426991338.8,银行,20160802
600011,华能国际,15698093359.0,10997709919.0,144422458902.8,101178931254.79999,电力行业,20011206
601800,中国交建,16280111425.0,11747235425.0,143916184997.0,103845561157.0,工程建设,20120309
000596,古井贡酒,528600000.0,408600000.0,142193400000.0,109913400000.0,酿酒行业,19960927
002142,宁波银行,6603590792.0,6523762510.0,142109273843.84,140391369215.2,银行,20070719
688111,金山办公,461817245.0,461817245.0,141519276557.8,141519276557.8,软件开发,20191118
600436,片仔癀,603317210.0,603317210.0,141429620368.19998,141429620368.19998,中药,20030616
603259,药明康德,2933336997.0,2546260847.0,140330841936.48,121813118920.48001,医疗服务,20180508
