name,cname,symbol
Microsoft Corp.,微软公司,MSFT
"Apple, Inc.",苹果公司,AAPL
NVIDIA Corp.,英伟达公司,NVDA
"Amazon.com, Inc.",亚马逊公司,AMZN
"Alphabet, Inc.",谷歌,GOOG
"Alphabet, Inc.",谷歌A类股,GOOGL
"Meta Platforms, Inc.","Meta Platforms, Inc.",META
"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦,BRK.A
"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦B,BRK.B
"Taiwan Semiconductor Manufacturing Co., Ltd.",台湾积体电路制造公司,TSM
Eli Lilly & Co.,礼来公司,LLY
Broadcom Inc.,博通,AVGO
Novo Nordisk A/S,诺和诺德公司,NVO
"Tesla, Inc.",特斯拉,TSLA
JPMorgan Chase & Co.,摩根大通公司,JPM
"Visa, Inc.",维萨卡公司,V
"Walmart, Inc.",沃尔玛公司,WMT
"UnitedHealth Group, Inc.",美国联合健康集团,UNH
"Mastercard, Inc.",万事达卡公司,MA
Exxon Mobil Corp.,埃克森美孚公司,XOM
Johnson & Johnson,强生公司,JNJ
Procter & Gamble Co.,宝洁公司,PG
ASML Holding NV,阿斯麦公司,ASML
"The Home Depot, Inc.",家得宝公司,HD
"Advanced Micro Devices, Inc.",美国超微公司,AMD
Toyota Motor Corp.,丰田汽车公司,TM
"AbbVie, Inc.",艾伯维公司,ABBV
Costco Wholesale Corp.,开市客公司,COST
Oracle Corp.,甲骨文公司,ORCL
"Merck & Co., Inc.",默沙东集团,MRK
"Salesforce, Inc.",赛富时公司,CRM
Bank of America Corp.,美国银行公司,BAC
Chevron Corp.,雪佛龙公司,CVX
"Netflix, Inc.",奈飞公司,NFLX
The Coca-Cola Co.,可口可乐公司,KO
"Adobe, Inc.",Adobe,ADBE
Accenture Plc,埃森哲公司,ACN
"Thermo Fisher Scientific, Inc.",赛默飞世尔科技公司,TMO
"PepsiCo, Inc.",百事可乐公司,PEP
Linde Plc,Linde Plc,LIN
SAP SE,SAP,SAP
McDonald's Corp.,麦当劳公司,MCD
AstraZeneca PLC,阿斯利康公司,AZN
Abbott Laboratories,雅培公司,ABT
Shell Plc,Shell Plc,SHEL
Novartis AG,诺华公司,NVS
The Walt Disney Co.,沃特迪士尼公司,DIS
Wells Fargo & Co.,富国银行,WFC
"Cisco Systems, Inc.",思科系统公司,CSCO
"T-Mobile US, Inc.","T-Mobile US, Inc.",TMUS
Shell Plc,荷兰皇家壳牌石油公司,RDS.A
"QUALCOMM, Inc.",高通公司,QCOM
Alibaba Group Holding Ltd.,阿里巴巴,BABA
Intel Corp.,英特尔公司,INTC
Danaher Corp.,丹纳赫公司,DHR
"Intuit, Inc.",财捷集团,INTU
General Electric Co.,通用电气公司,GE
International Business Machines Corp.,IBM(国际商业机器有限公司),IBM
Comcast Corp.,康卡斯特公司,CMCSA
"Verizon Communications, Inc.",威讯通信公司,VZ
"Applied Materials, Inc.",应用材料公司,AMAT
"Caterpillar, Inc.",卡特彼勒公司,CAT
Coca-Cola FEMSA SAB de CV,可口可乐凡萨瓶装,KOF
"Uber Technologies, Inc.",优步科技有限公司,UBER
Pfizer Inc.,辉瑞制药公司,PFE
American Express Co.,美国运通公司,AXP
Texas Instruments Incorporated,德州仪器公司,TXN
TotalEnergies SE,TotalEnergies SE,TTE
"ServiceNow, Inc.",现在服务公司,NOW
"NIKE, Inc.",耐克公司,NKE
Union Pacific Corp.,联合太平洋公司,UNP
"PDD Holdings, Inc.",拼多多公司,PDD
"Amgen, Inc.",安进公司,AMGN
"Philip Morris International, Inc.",菲利普莫里斯国际公司,PM
BHP Group Ltd.,必和必拓,BHP
Morgan Stanley,摩根士丹利,MS
HDFC Bank Ltd.,HDFC银行,HDB
Royal Bank of Canada,加拿大皇家银行,RY
HSBC Holdings Plc,汇丰控股公司,HSBC
"Lowe's Companies, Inc.",劳氏公司,LOW
ConocoPhillips,康菲石油公司,COP
Stryker Corp.,史赛克公司,SYK
"Intuitive Surgical, Inc.",直觉外科公司,ISRG
"S&P Global, Inc.",标普全球,SPGI
"United Parcel Service, Inc.",联合包裹服务公司,UPS
"Honeywell International, Inc.",霍尼韦尔国际公司,HON
Arm Holdings Plc,Arm Holdings Plc,ARM
Anheuser-Busch InBev SA/NV,百威英博公司,BUD
TotalEnergies SE,道达尔公司,TOT
"The Goldman Sachs Group, Inc.",高盛集团,GS
"Mitsubishi UFJ Financial Group, Inc.","Mitsubishi UFJ Financial Group, Inc.",MUFG
"Prologis, Inc.","Prologis, Inc.",PLD
"AT&T, Inc.",美国电话电报公司,T
Unilever Plc,联合利华PLC,UL
"BlackRock, Inc.",贝莱德集团,BLK
Sanofi,赛诺菲-安万特公司,SNY
The Charles Schwab Corp.,嘉信理财公司,SCHW
Lam Research Corp.,林氏研究公司,LRCX
RTX Corp.,RTX Corp.,RTX
"Booking Holdings, Inc.",缤客,BKNG
"NextEra Energy, Inc.",新纪元能源公司,NEE
"Elevance Health, Inc.","Elevance Health, Inc.",ELV
The Boeing Co.,波音公司,BA
Eaton Corp. Plc,伊顿公司,ETN
"Anthem, Inc.","Anthem, Inc.",ANTM
Progressive Corp.,美国前进保险公司,PGR
Medtronic Plc,美敦力公司,MDT
"The TJX Cos., Inc.",TJX公司,TJX
Bristol Myers Squibb Co.,百时美施贵宝公司,BMY
"Citigroup, Inc.",花旗集团,C
The Toronto-Dominion Bank,道明银行,TD
Stellantis NV,Stellantis NV,STLA
"Vertex Pharmaceuticals, Inc.",福泰制药,VRTX
Sony Group Corp.,Sony Group Corp.,SONY
"Regeneron Pharmaceuticals, Inc.",再生元制药公司,REGN
"Airbnb, Inc.",爱彼迎,ABNB
Lockheed Martin Corp.,洛克希德马丁公司,LMT
Deere & Co.,迪尔股份有限公司,DE
"Micron Technology, Inc.",美光科技公司,MU
Starbucks Corp.,星巴克公司,SBUX
Chubb Ltd.,安达保险公司,CB
BP Plc,英国石油公司,BP
"Marsh & McLennan Cos., Inc.",威达信集团,MMC
Rio Tinto Plc,力拓公司,RIO
"Automatic Data Processing, Inc.",自动数据处理公司,ADP
The Cigna Group,信诺,CI
UBS Group AG,瑞士银行,UBS
"Analog Devices, Inc.",亚德诺半导体,ADI
"Mondelez International, Inc.",亿滋国际公司,MDLZ
Boston Scientific Corp.,波士顿科学,BSX
"Shopify, Inc.","Shopify, Inc.",SHOP
American Tower Corp.,美国电塔,AMT
CVS Health Corp.,西维斯健康,CVS
"NTT DoCoMo, Inc.",NTT道康姆公司,DCM
